OPPORTUNITY_ID,REGIONAL_OFFICE,PRODUCT_NAME,ESTIMATED_DEAL_VALUE,ESTIMATED_DEAL_SIZE_BAND,DEAL_AGE_DAYS,PIPELINE_STATUS,AGE_BUCKET,BASE_WIN_RATE_BY_SIZE,AGE_MULTIPLIER,ADJUSTED_CLOSE_PROBABILITY,EXPECTED_REVENUE_90D,IS_AT_RISK_FLAG
HAXMC4IX,West,MG Advanced,3393.00,small,423,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
UP409DSB,West,MG Advanced,3393.00,small,416,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
EG7OFLFR,West,GTX Basic,550.00,small,412,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
OLVI7L8M,East,GTXPro,0.00,unknown,410,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
F5U1ACDD,West,GTX Plus Basic,1096.00,small,407,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
ZZY4516R,West,MG Advanced,3393.00,small,406,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
0DRC1U9Q,West,GTX Basic,550.00,small,406,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
M7I5O9YU,East,GTX Basic,550.00,small,403,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
GYB4W2AU,West,MG Advanced,3393.00,small,403,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
VDIU10RV,West,MG Special,55.00,small,403,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
579LZ3F9,East,GTX Plus Basic,1096.00,small,402,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
SU8JNMP4,West,GTX Plus Basic,1096.00,small,402,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
PFFHM7HR,West,MG Advanced,3393.00,small,399,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
CNM0H9FR,West,GTX Basic,550.00,small,394,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
UAE5ZC7O,East,GTX Plus Pro,5482.00,medium,391,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
JUCNIG4H,West,GTX Basic,550.00,small,391,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
ICMXZOVL,East,GTXPro,0.00,unknown,388,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
IBEUTCSW,West,MG Advanced,3393.00,small,388,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
O3KC8QI8,West,GTX Plus Basic,1096.00,small,388,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
WALNFJ70,West,GTX Plus Pro,5482.00,medium,388,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
MNVMY83P,East,GTXPro,0.00,unknown,386,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
ZOBJHMAF,East,MG Advanced,3393.00,small,385,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
KD6MB4AP,West,MG Special,55.00,small,385,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
A194RP0I,West,MG Advanced,3393.00,small,384,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
KV2OFRJT,West,GTXPro,0.00,unknown,383,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
ERFRHR3Z,West,MG Advanced,3393.00,small,382,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
J53D8EOL,West,GTX Plus Basic,1096.00,small,382,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
J32XDDAW,West,GTX Basic,550.00,small,382,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
1ZDDZD8B,West,MG Special,55.00,small,381,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
EZVKSQ9C,East,GTX Plus Pro,5482.00,medium,380,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
RJYG004O,East,GTX Basic,550.00,small,380,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
PYOFK7ZD,East,GTX Basic,550.00,small,379,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
